x, y, theta
1.792731034980219e+17, 1.457271655027097e+19, -826877842995505.8
2.509823448972307e+17, 2.040180317037935e+19, -992253411594605.3
2.760805793869539e+17, 2.448216380445523e+19, -1091478752754063.0
5.245531008352122e+17, 4.651611122846492e+19, -1964661754957310.0
6.294637210022547e+17, 5.581933347415791e+19, -2357594105948768.0
8.183028373029309e+17, 7.814706686382107e+19, -3064872337733395.0
9.001331210332241e+17, 1.015911869229674e+20, -3371359571506732.0
1.260186369446514e+18, 1.422276616921543e+20, -4719903400109421.0
1.512223643335816e+18, 1.706731940305852e+20, -5191893740120360.0
2.117113100670143e+18, 2.560097910458778e+20, -7268651236168499.0
4.022514891273271e+18, 4.864186029871678e+20, -1.235670710148644e+16
6.838275315164561e+18, 8.755534853769021e+20, -2.100640207252695e+16
1.299272309881267e+19, 1.751106970753804e+21, -3.99121639378012e+16
2.208762926798153e+19, 3.151992547356848e+21, -6.385946230048192e+16
3.092268097517415e+19, 4.412789566299586e+21, -8.940324722067469e+16
4.947628956027863e+19, 7.060463306079338e+21, -1.430451955530795e+17
5.442391851630651e+19, 7.766509636687272e+21, -1.573497151083875e+17
7.619348592282909e+19, 1.087311349136218e+22, -2.045546296409037e+17
6.857413733054618e+19, 1.087311349136218e+22, -1.840991666768133e+17
8.914637852971003e+19, 1.413504753877084e+22, -2.20919000012176e+17
9.806101638268105e+19, 1.696205704652501e+22, -2.430109000133936e+17
8.825491474441293e+19, 1.696205704652501e+22, -1.944087200107149e+17
9.708040621885425e+19, 1.865826275117751e+22, -1.944087200107149e+17
1.067884468407397e+20, 2.425574157653075e+22, -2.138495920117864e+17
1.174672915248137e+20, 2.91068898918369e+22, -2.352345512129651e+17
1.174672915248137e+20, 3.20175788810206e+22, -2.352345512129651e+17
1.29214020677295e+20, 3.521933676912266e+22, -2.587580063342616e+17
2.584280413545901e+20, 7.043867353824533e+22, -4.916402120350971e+17
2.584280413545901e+20, 7.748254089206986e+22, -4.916402120350971e+17
2.584280413545901e+20, 7.748254089206986e+22, -4.424761908315874e+17
3.359564537609671e+20, 1.007273031596908e+23, -5.309714289979048e+17
5.039346806414507e+20, 1.510909547395362e+23, -6.371657147974858e+17
1.360623637731917e+21, 4.079455777967479e+23, -1.720347429953212e+18
1.768810729051492e+21, 5.303292511357722e+23, -2.064416915943854e+18
2.12257287486179e+21, 6.363951013629267e+23, -2.27085860753824e+18
2.759344737320328e+21, 8.909531419080972e+23, -2.952116189799712e+18
3.587148158516426e+21, 1.158239084480526e+24, -3.542539427759654e+18
3.587148158516426e+21, 1.274062992928579e+24, -3.542539427759654e+18
4.663292606071354e+21, 1.656281890807153e+24, -4.605301256087551e+18
5.12962186667849e+21, 1.821910079887869e+24, -5.065831381696306e+18
6.668508426682038e+21, 2.368483103854229e+24, -6.078997658035568e+18
9.335911797354852e+21, 3.31587634539592e+24, -7.902696955446238e+18
1.026950297709034e+22, 3.979051614475104e+24, -7.902696955446238e+18
1.232340357250841e+22, 5.570672260265146e+24, -9.483236346535486e+18
1.355574392975925e+22, 6.12773948629166e+24, -9.483236346535486e+18
1.220016953678332e+22, 6.12773948629166e+24, -8.534912711881937e+18
1.342018649046166e+22, 6.740513434920826e+24, -8.534912711881937e+18
2.415633568283098e+22, 1.213292418285749e+25, -1.536284288138749e+19
2.657196925111409e+22, 1.334621660114324e+25, -1.689912716952624e+19
2.657196925111409e+22, 1.334621660114324e+25, -1.689912716952624e+19
3.720075695155971e+22, 1.868470324160053e+25, -2.196886532038411e+19
5.580113542733957e+22, 2.80270548624008e+25, -3.295329798057617e+19
6.696136251280749e+22, 3.363246583488095e+25, -3.624862777863379e+19
8.035363501536899e+22, 4.035895900185714e+25, -4.349835333436054e+19
9.642436201844278e+22, 4.843075080222857e+25, -4.784818866779659e+19
1.157092344221313e+23, 5.811690096267428e+25, -5.263300753457626e+19
